date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2015-10-01,0,0,False,0.0,0.0
2015-10-02,0,0,False,0.0,0.0
2015-10-03,100,100,False,1.0,100.0
2015-10-04,0,0,False,0.0,0.0
2015-10-05,0,0,False,0.0,0.0
2015-10-06,0,0,False,0.0,0.0
2015-10-07,0,0,False,0.0,0.0
2015-10-08,0,0,False,0.0,0.0
2015-10-09,0,0,False,0.0,0.0
2015-10-10,38,38,False,0.38,14.44
2015-10-11,51,51,False,0.51,26.01
2015-10-12,0,0,False,0.0,0.0
2015-10-13,51,51,False,0.51,26.01
2015-10-14,0,0,False,0.0,0.0
2015-10-15,0,0,False,0.0,0.0
2015-10-16,0,0,False,0.0,0.0
2015-10-17,71,71,False,0.71,50.41
2015-10-18,0,0,False,0.0,0.0
2015-10-19,0,0,False,0.0,0.0
2015-10-20,0,0,False,0.0,0.0
2015-10-21,0,0,False,0.0,0.0
2015-10-22,0,0,False,0.0,0.0
2015-10-23,0,0,False,0.0,0.0
2015-10-24,0,0,False,0.0,0.0
2015-10-25,0,0,False,0.0,0.0
2015-10-26,0,0,False,0.0,0.0
2015-10-27,0,0,False,0.0,0.0
2015-10-28,27,27,False,0.27,7.290000000000001
2015-10-29,56,56,False,0.56,31.360000000000003
2015-10-30,0,0,False,0.0,0.0
2015-10-31,0,0,False,0.0,0.0
