date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2008-11-01,0,0,False,0.0,0.0
2008-11-02,0,0,False,0.0,0.0
2008-11-03,0,0,False,0.0,0.0
2008-11-04,0,0,False,0.0,0.0
2008-11-05,0,0,False,0.0,0.0
2008-11-06,0,0,False,0.0,0.0
2008-11-07,0,0,False,0.0,0.0
2008-11-08,100,100,False,1.0,100.0
2008-11-09,0,0,False,0.0,0.0
2008-11-10,0,0,False,0.0,0.0
2008-11-11,23,23,False,0.23,5.29
2008-11-12,69,69,False,0.69,47.61
2008-11-13,25,25,False,0.25,6.25
2008-11-14,0,0,False,0.0,0.0
2008-11-15,85,85,False,0.85,72.25
2008-11-16,42,42,False,0.42,17.64
2008-11-17,0,0,False,0.0,0.0
2008-11-18,0,0,False,0.0,0.0
2008-11-19,0,0,False,0.0,0.0
2008-11-20,76,76,False,0.76,57.76
2008-11-21,0,0,False,0.0,0.0
2008-11-22,0,0,False,0.0,0.0
2008-11-23,0,0,False,0.0,0.0
2008-11-24,0,0,False,0.0,0.0
2008-11-25,0,0,False,0.0,0.0
2008-11-26,88,88,False,0.88,77.44
2008-11-27,0,0,False,0.0,0.0
2008-11-28,0,0,False,0.0,0.0
2008-11-29,0,0,False,0.0,0.0
2008-11-30,0,0,False,0.0,0.0
