date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2014-12-01,61,61,False,0.61,37.21
2014-12-02,77,77,False,0.77,59.29
2014-12-03,0,0,False,0.0,0.0
2014-12-04,0,0,False,0.0,0.0
2014-12-05,0,0,False,0.0,0.0
2014-12-06,0,0,False,0.0,0.0
2014-12-07,0,0,False,0.0,0.0
2014-12-08,0,0,False,0.0,0.0
2014-12-09,0,0,False,0.0,0.0
2014-12-10,40,40,False,0.4,16.0
2014-12-11,0,0,False,0.0,0.0
2014-12-12,0,0,False,0.0,0.0
2014-12-13,0,0,False,0.0,0.0
2014-12-14,0,0,False,0.0,0.0
2014-12-15,0,0,False,0.0,0.0
2014-12-16,52,52,False,0.52,27.04
2014-12-17,56,56,False,0.56,31.360000000000003
2014-12-18,0,0,False,0.0,0.0
2014-12-19,47,47,False,0.47,22.09
2014-12-20,100,100,False,1.0,100.0
2014-12-21,0,0,False,0.0,0.0
2014-12-22,0,0,False,0.0,0.0
2014-12-23,0,0,False,0.0,0.0
2014-12-24,0,0,False,0.0,0.0
2014-12-25,0,0,False,0.0,0.0
2014-12-26,0,0,False,0.0,0.0
2014-12-27,0,0,False,0.0,0.0
2014-12-28,0,0,False,0.0,0.0
2014-12-29,0,0,False,0.0,0.0
2014-12-30,0,0,False,0.0,0.0
2014-12-31,0,0,False,0.0,0.0
