date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2018-03-01,36,36,False,0.36,12.959999999999999
2018-03-02,0,0,False,0.0,0.0
2018-03-03,0,0,False,0.0,0.0
2018-03-04,0,0,False,0.0,0.0
2018-03-05,0,0,False,0.0,0.0
2018-03-06,36,36,False,0.36,12.959999999999999
2018-03-07,0,0,False,0.0,0.0
2018-03-08,0,0,False,0.0,0.0
2018-03-09,0,0,False,0.0,0.0
2018-03-10,0,0,False,0.0,0.0
2018-03-11,0,0,False,0.0,0.0
2018-03-12,52,52,False,0.52,27.04
2018-03-13,0,0,False,0.0,0.0
2018-03-14,0,0,False,0.0,0.0
2018-03-15,0,0,False,0.0,0.0
2018-03-16,0,0,False,0.0,0.0
2018-03-17,0,0,False,0.0,0.0
2018-03-18,36,36,False,0.36,12.959999999999999
2018-03-19,0,0,False,0.0,0.0
2018-03-20,0,0,False,0.0,0.0
2018-03-21,0,0,False,0.0,0.0
2018-03-22,0,0,False,0.0,0.0
2018-03-23,100,100,False,1.0,100.0
2018-03-24,0,0,False,0.0,0.0
2018-03-25,0,0,False,0.0,0.0
2018-03-26,0,0,False,0.0,0.0
2018-03-27,0,0,False,0.0,0.0
2018-03-28,0,0,False,0.0,0.0
2018-03-29,41,41,False,0.41,16.81
2018-03-30,29,29,False,0.29,8.41
2018-03-31,0,0,False,0.0,0.0
