date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2004-10-01,0,0,False,0.0,0.0
2004-10-02,0,0,False,0.0,0.0
2004-10-03,0,0,False,0.0,0.0
2004-10-04,0,0,False,0.0,0.0
2004-10-05,0,0,False,0.0,0.0
2004-10-06,13,13,False,0.13,1.69
2004-10-07,0,0,False,0.0,0.0
2004-10-08,0,0,False,0.0,0.0
2004-10-09,0,0,False,0.0,0.0
2004-10-10,0,0,False,0.0,0.0
2004-10-11,0,0,False,0.0,0.0
2004-10-12,0,0,False,0.0,0.0
2004-10-13,0,0,False,0.0,0.0
2004-10-14,0,0,False,0.0,0.0
2004-10-15,0,0,False,0.0,0.0
2004-10-16,0,0,False,0.0,0.0
2004-10-17,0,0,False,0.0,0.0
2004-10-18,0,0,False,0.0,0.0
2004-10-19,24,24,False,0.24,5.76
2004-10-20,0,0,False,0.0,0.0
2004-10-21,0,0,False,0.0,0.0
2004-10-22,0,0,False,0.0,0.0
2004-10-23,0,0,False,0.0,0.0
2004-10-24,0,0,False,0.0,0.0
2004-10-25,0,0,False,0.0,0.0
2004-10-26,0,0,False,0.0,0.0
2004-10-27,0,0,False,0.0,0.0
2004-10-28,12,12,False,0.12,1.44
2004-10-29,100,100,False,1.0,100.0
2004-10-30,0,0,False,0.0,0.0
2004-10-31,0,0,False,0.0,0.0
