date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2009-08-01,100,100,False,1.0,100.0
2009-08-02,0,0,False,0.0,0.0
2009-08-03,0,0,False,0.0,0.0
2009-08-04,25,25,False,0.25,6.25
2009-08-05,0,0,False,0.0,0.0
2009-08-06,0,0,False,0.0,0.0
2009-08-07,0,0,False,0.0,0.0
2009-08-08,55,55,False,0.55,30.250000000000004
2009-08-09,0,0,False,0.0,0.0
2009-08-10,0,0,False,0.0,0.0
2009-08-11,0,0,False,0.0,0.0
2009-08-12,0,0,False,0.0,0.0
2009-08-13,0,0,False,0.0,0.0
2009-08-14,57,57,False,0.57,32.489999999999995
2009-08-15,0,0,False,0.0,0.0
2009-08-16,0,0,False,0.0,0.0
2009-08-17,23,23,False,0.23,5.29
2009-08-18,0,0,False,0.0,0.0
2009-08-19,0,0,False,0.0,0.0
2009-08-20,0,0,False,0.0,0.0
2009-08-21,0,0,False,0.0,0.0
2009-08-22,0,0,False,0.0,0.0
2009-08-23,0,0,False,0.0,0.0
2009-08-24,21,21,False,0.21,4.41
2009-08-25,0,0,False,0.0,0.0
2009-08-26,0,0,False,0.0,0.0
2009-08-27,34,34,False,0.34,11.56
2009-08-28,0,0,False,0.0,0.0
2009-08-29,0,0,False,0.0,0.0
2009-08-30,0,0,False,0.0,0.0
2009-08-31,0,0,False,0.0,0.0
