date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2011-08-01,72,72,False,0.72,51.839999999999996
2011-08-02,0,0,False,0.0,0.0
2011-08-03,0,0,False,0.0,0.0
2011-08-04,0,0,False,0.0,0.0
2011-08-05,0,0,False,0.0,0.0
2011-08-06,100,100,False,1.0,100.0
2011-08-07,0,0,False,0.0,0.0
2011-08-08,0,0,False,0.0,0.0
2011-08-09,0,0,False,0.0,0.0
2011-08-10,0,0,False,0.0,0.0
2011-08-11,0,0,False,0.0,0.0
2011-08-12,0,0,False,0.0,0.0
2011-08-13,0,0,False,0.0,0.0
2011-08-14,45,45,False,0.45,20.25
2011-08-15,0,0,False,0.0,0.0
2011-08-16,76,76,False,0.76,57.76
2011-08-17,0,0,False,0.0,0.0
2011-08-18,0,0,False,0.0,0.0
2011-08-19,32,32,False,0.32,10.24
2011-08-20,0,0,False,0.0,0.0
2011-08-21,0,0,False,0.0,0.0
2011-08-22,0,0,False,0.0,0.0
2011-08-23,0,0,False,0.0,0.0
2011-08-24,0,0,False,0.0,0.0
2011-08-25,0,0,False,0.0,0.0
2011-08-26,82,82,False,0.82,67.24
2011-08-27,0,0,False,0.0,0.0
2011-08-28,0,0,False,0.0,0.0
2011-08-29,30,30,False,0.3,9.0
2011-08-30,0,0,False,0.0,0.0
2011-08-31,0,0,False,0.0,0.0
