date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2014-04-01,0,0,False,0.0,0.0
2014-04-02,0,0,False,0.0,0.0
2014-04-03,0,0,False,0.0,0.0
2014-04-04,0,0,False,0.0,0.0
2014-04-05,0,0,False,0.0,0.0
2014-04-06,0,0,False,0.0,0.0
2014-04-07,31,31,False,0.31,9.61
2014-04-08,0,0,False,0.0,0.0
2014-04-09,0,0,False,0.0,0.0
2014-04-10,0,0,False,0.0,0.0
2014-04-11,0,0,False,0.0,0.0
2014-04-12,0,0,False,0.0,0.0
2014-04-13,51,51,False,0.51,26.01
2014-04-14,24,24,False,0.24,5.76
2014-04-15,0,0,False,0.0,0.0
2014-04-16,0,0,False,0.0,0.0
2014-04-17,0,0,False,0.0,0.0
2014-04-18,0,0,False,0.0,0.0
2014-04-19,0,0,False,0.0,0.0
2014-04-20,32,32,False,0.32,10.24
2014-04-21,70,70,False,0.7,49.0
2014-04-22,100,100,False,1.0,100.0
2014-04-23,0,0,False,0.0,0.0
2014-04-24,0,0,False,0.0,0.0
2014-04-25,0,0,False,0.0,0.0
2014-04-26,27,27,False,0.27,7.290000000000001
2014-04-27,0,0,False,0.0,0.0
2014-04-28,0,0,False,0.0,0.0
2014-04-29,0,0,False,0.0,0.0
2014-04-30,0,0,False,0.0,0.0
