date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2009-12-01,0,0,False,0.0,0.0
2009-12-02,0,0,False,0.0,0.0
2009-12-03,0,0,False,0.0,0.0
2009-12-04,0,0,False,0.0,0.0
2009-12-05,0,0,False,0.0,0.0
2009-12-06,0,0,False,0.0,0.0
2009-12-07,0,0,False,0.0,0.0
2009-12-08,0,0,False,0.0,0.0
2009-12-09,0,0,False,0.0,0.0
2009-12-10,0,0,False,0.0,0.0
2009-12-11,25,25,False,0.25,6.25
2009-12-12,45,45,False,0.45,20.25
2009-12-13,0,0,False,0.0,0.0
2009-12-14,0,0,False,0.0,0.0
2009-12-15,0,0,False,0.0,0.0
2009-12-16,0,0,False,0.0,0.0
2009-12-17,0,0,False,0.0,0.0
2009-12-18,0,0,False,0.0,0.0
2009-12-19,0,0,False,0.0,0.0
2009-12-20,0,0,False,0.0,0.0
2009-12-21,0,0,False,0.0,0.0
2009-12-22,0,0,False,0.0,0.0
2009-12-23,0,0,False,0.0,0.0
2009-12-24,0,0,False,0.0,0.0
2009-12-25,0,0,False,0.0,0.0
2009-12-26,0,0,False,0.0,0.0
2009-12-27,0,0,False,0.0,0.0
2009-12-28,0,0,False,0.0,0.0
2009-12-29,0,0,False,0.0,0.0
2009-12-30,0,0,False,0.0,0.0
2009-12-31,100,100,False,1.0,100.0
