date,Dürre_unscaled,Dürre_monthly,isPartial,scale,Dürre
2008-09-01,79,79,False,0.79,62.410000000000004
2008-09-02,0,0,False,0.0,0.0
2008-09-03,0,0,False,0.0,0.0
2008-09-04,0,0,False,0.0,0.0
2008-09-05,0,0,False,0.0,0.0
2008-09-06,0,0,False,0.0,0.0
2008-09-07,0,0,False,0.0,0.0
2008-09-08,0,0,False,0.0,0.0
2008-09-09,0,0,False,0.0,0.0
2008-09-10,0,0,False,0.0,0.0
2008-09-11,0,0,False,0.0,0.0
2008-09-12,0,0,False,0.0,0.0
2008-09-13,91,91,False,0.91,82.81
2008-09-14,0,0,False,0.0,0.0
2008-09-15,0,0,False,0.0,0.0
2008-09-16,0,0,False,0.0,0.0
2008-09-17,99,99,False,0.99,98.01
2008-09-18,0,0,False,0.0,0.0
2008-09-19,0,0,False,0.0,0.0
2008-09-20,0,0,False,0.0,0.0
2008-09-21,0,0,False,0.0,0.0
2008-09-22,0,0,False,0.0,0.0
2008-09-23,0,0,False,0.0,0.0
2008-09-24,0,0,False,0.0,0.0
2008-09-25,100,100,False,1.0,100.0
2008-09-26,0,0,False,0.0,0.0
2008-09-27,64,64,False,0.64,40.96
2008-09-28,0,0,False,0.0,0.0
2008-09-29,0,0,False,0.0,0.0
2008-09-30,67,67,False,0.67,44.89
